Solution,Bluefish-FD-XI-TD,Eman_5.40_fad_12,SugaR.AI.ICCF.1.00,ShashChess15.1,Bluefish-12-W,Crystal-2020-06-29,Bluefish-XI,CorChess v6,Houdidi_6.03_tac_1,Stockfish_2020-07-19, ShashChess 12.1,Stockfish_20121407,Eman 6.61,Stockfish_20062710,SugaR.AI.1.00,Stockfish 11,Honey-XI,Stockfish 10,Crystal 2020-05-02,Black-Diamond-XI,Black-Diamond-XR7,Black-Diamond-XI-r2,Crystal 1.1,Stockfish 9,McCain-v2,Houdidi_6.03_tac_def,Sting-SF-16,Sting-SF-20,Ethereal 12.25,Houdini 1.5 x64,Critter 1.6a 64bit,Stockfish 8,Xiphos 0.6,Ethereal 11.75,Stockfish 7,Bluefish-FD-XI-DC,Lc0 v0.26.3 s1,NumEngSolvedCount,MeanTimeSec
127) .. Nb6xc4   ,54.0,264.0,78.0,52.0,607.0,626.0,132.0,4.0,607.0,171.0,992.0,186.0,50.0,533.0,82.0,1291.0,287.0,1544.0,33.0,238.0,379.0,900.0,664.0,670.0,520.0,631.0,,,,,,1389.0,1030.0,834.0,,5.0,5.0,30,495.0
120) c3-c4       ,49.0,3.0,5.0,1.0,0.0,7.0,0.0,0.0,,24.0,1.0,1.0,196.0,,1.0,4.0,0.0,130.0,14.0,320.0,23.0,2.0,7.0,,,,63.0,119.0,4.0,984.0,2.0,,0.0,71.0,,3.0,,29,70.0
 41) c4-c5       ,3.0,142.0,0.0,1.0,59.0,0.0,161.0,21.0,4.0,6.0,4.0,1.0,60.0,20.0,1.0,46.0,,203.0,0.0,0.0,0.0,0.0,0.0,1787.0,50.0,195.0,20.0,35.0,,,0.0,,,,,127.0,0.0,29,102.0
 25) e4-e5       ,97.0,2.0,,8.0,76.0,5.0,0.0,1.0,,6.0,0.0,11.0,80.0,1.0,29.0,26.0,8.0,3.0,69.0,3.0,4.0,1.0,1.0,616.0,65.0,75.0,,,18.0,,,1582.0,109.0,1059.0,,60.0,15.0,29,138.0
121) Na5-b3      ,1.0,74.0,4.0,11.0,373.0,8.0,20.0,48.0,,211.0,0.0,,81.0,238.0,,225.0,19.0,242.0,396.0,8.0,5.0,1.0,1.0,192.0,,963.0,4.0,164.0,96.0,51.0,42.0,,,1077.0,,0.0,18.0,29,157.0
 52) Bd5xf7      ,31.0,69.0,,517.0,214.0,45.0,22.0,117.0,104.0,679.0,90.0,427.0,,5.0,,411.0,32.0,136.0,117.0,226.0,439.0,42.0,122.0,77.0,67.0,284.0,,,138.0,,,19.0,36.0,244.0,16.0,0.0,,29,163.0
203) g2-g3       ,,22.0,709.0,460.0,284.0,,,485.0,11.0,528.0,10.0,365.0,386.0,90.0,406.0,70.0,411.0,416.0,3.0,,,43.0,,0.0,,5.0,6.0,99.0,285.0,0.0,0.0,14.0,0.0,16.0,6.0,137.0,0.0,29,182.0
 85) h5-h6       ,228.0,126.0,0.0,1.0,4.0,1041.0,106.0,5.0,,3.0,396.0,14.0,18.0,67.0,1.0,121.0,76.0,144.0,551.0,65.0,24.0,58.0,57.0,218.0,938.0,1431.0,,,,,,1556.0,81.0,827.0,,14.0,91.0,29,282.0
157) Kg1-f2      ,24.0,23.0,4.0,122.0,87.0,77.0,72.0,788.0,89.0,471.0,223.0,941.0,1548.0,106.0,1197.0,183.0,87.0,960.0,28.0,53.0,21.0,20.0,10.0,467.0,154.0,38.0,,,,,,366.0,,,470.0,2.0,,29,298.0
148) Bd3xh7      ,27.0,247.0,1.0,38.0,15.0,104.0,632.0,263.0,78.0,75.0,42.0,156.0,674.0,625.0,189.0,190.0,71.0,510.0,168.0,807.0,,40.0,122.0,1061.0,,,,631.0,,300.0,580.0,638.0,,,529.0,3.0,,29,304.0
 81) Rg2xg7      ,9.0,279.0,,1623.0,263.0,39.0,5.0,165.0,556.0,185.0,133.0,1261.0,404.0,596.0,,598.0,464.0,,37.0,1269.0,526.0,,393.0,1120.0,,43.0,1231.0,,413.0,860.0,10.0,1415.0,6.0,34.0,,12.0,,29,481.0
165) b6-b7       ,43.0,210.0,69.0,116.0,257.0,1354.0,476.0,445.0,192.0,1573.0,1500.0,130.0,,1239.0,1064.0,,1053.0,531.0,,1704.0,328.0,,1632.0,404.0,794.0,750.0,,,166.0,39.0,197.0,267.0,,325.0,632.0,1.0,,29,603.0
 88) Qf5-e6      ,0.0,2.0,4.0,15.0,36.0,14.0,40.0,84.0,11.0,782.0,1.0,178.0,6.0,16.0,42.0,12.0,89.0,70.0,1.0,3.0,3.0,11.0,1.0,38.0,18.0,,0.0,0.0,,,,,,,,0.0,8.0,28,53.0
111) .. e4-e3    ,17.0,28.0,103.0,5.0,12.0,19.0,53.0,40.0,,194.0,25.0,61.0,6.0,24.0,48.0,66.0,14.0,60.0,71.0,31.0,28.0,20.0,18.0,75.0,50.0,69.0,,,,,,583.0,,483.0,,5.0,0.0,28,79.0
104) b7-b8R      ,0.0,292.0,0.0,57.0,,0.0,140.0,69.0,14.0,21.0,,15.0,3.0,40.0,15.0,115.0,113.0,160.0,0.0,1.0,1.0,0.0,1.0,20.0,24.0,,18.0,1023.0,156.0,,,,,572.0,,0.0,,28,102.0
 60) Nh3-g5      ,0.0,0.0,0.0,1.0,0.0,161.0,,122.0,3.0,0.0,,5.0,2.0,,3.0,,,396.0,35.0,89.0,300.0,320.0,214.0,,,1.0,0.0,0.0,148.0,0.0,0.0,69.0,,604.0,588.0,0.0,5.0,28,109.0
122) .. Bf5-h3   ,11.0,4.0,293.0,169.0,142.0,53.0,40.0,114.0,769.0,188.0,39.0,394.0,842.0,60.0,248.0,35.0,12.0,44.0,384.0,95.0,51.0,170.0,21.0,134.0,168.0,,139.0,,,393.0,,,,,,0.0,,28,179.0
 75) Rd7-d2      ,,,169.0,4.0,8.0,5.0,7.0,9.0,5.0,6.0,12.0,57.0,,4.0,1353.0,,1518.0,83.0,13.0,75.0,9.0,20.0,721.0,32.0,21.0,4.0,60.0,57.0,21.0,,,507.0,26.0,,707.0,,,28,197.0
 16) Bd3xh7      ,37.0,168.0,0.0,66.0,44.0,0.0,492.0,612.0,78.0,18.0,122.0,,40.0,234.0,15.0,1061.0,,35.0,45.0,16.0,18.0,29.0,19.0,,,483.0,473.0,300.0,,33.0,9.0,,,,1363.0,4.0,,28,208.0
 29) e4-e5       ,125.0,259.0,2.0,81.0,0.0,229.0,19.0,209.0,1289.0,56.0,690.0,12.0,15.0,1602.0,0.0,149.0,337.0,35.0,,338.0,18.0,300.0,31.0,357.0,103.0,369.0,,,,,,162.0,,,327.0,288.0,0.0,28,264.0
 12) Rg1xg7      ,13.0,128.0,,158.0,48.0,159.0,21.0,457.0,352.0,,432.0,58.0,40.0,271.0,221.0,131.0,89.0,,59.0,255.0,232.0,30.0,1622.0,780.0,502.0,1170.0,1320.0,,,328.0,258.0,,,,604.0,4.0,,28,348.0
189) Qf3xf4      ,85.0,1734.0,0.0,24.0,3.0,41.0,9.0,217.0,59.0,4.0,76.0,59.0,132.0,1069.0,53.0,1499.0,605.0,,746.0,,40.0,,101.0,974.0,98.0,664.0,672.0,,,,,429.0,20.0,,1697.0,6.0,13.0,28,397.0
